3409 3409      #   type=2000 audit(0.0:1): initialized
3409 3409  auditd type=2000 audit(0.0:1): initialized 
0 0  init Created socket '/dev/socket/statsdw', mode 222, user 1066, group 1066 
0 0  msm_eeprom_config32 1905 Eeprom already probed at kernel boot 
0 0  init Opened file '/d/mmc0/mmc0:0001/ext_csd', flags 0 
0 0  init starting service 'wificond'... 
0 0  init starting service 'vendor.media.omx'... 
0 0  init starting service 'wifidisplayhalservice'... 
0 0  init Command 'class_start main' action=nonencrypted (/init.rc:692) took 663ms and succeeded 
0 0  init Service 'ptt_socket_app' (pid 644) exited with status 1 
0 0  init Could not start service 'nqnfcinfo' as part of class 'late_start': Cannot find '/system/vendor/bin/nqnfcinfo': No such file or directory 
0 0  init starting service 'qcom-c_late-sh'... 
0 0  init starting service 'cnss-daemon'... 
0 0  init starting service 'ssgqmigd'... 
0 0  init Created socket '/dev/socket/ssgqmig', mode 660, user 1001, group 3003 
0 0  init starting service 'ssgtzd'... 
0 0  init starting service 'mlid'... 
0 0  init Created socket '/dev/socket/ssgtzd', mode 660, user 1000, group 3003 
0 0  init Created socket '/dev/socket/mlid', mode 666, user 1021, group 1021 
0 0  init Could not start service 'vendor.qdmastatsd' as part of class 'late_start': Cannot find '/system/vendor/bin/qdmastatsd': No such file or directory 
0 0  init starting service 'loc_launcher'... 
0 0  init starting service 'qcom-sh'... 
0 0  init Could not start service 'crashdata-sh' as part of class 'late_start': File /vendor/bin/init.qcom.crashdata.sh(labeled "u:object_r:vendor_file:s0") has incorrect label or no domain transition from u:r:init:s0 to another SELinux domain defined. Have you configured your service correctly? https://source.android.com/security/selinux/device-policy#label_new_services_and_address_denials 
0 0  init Could not start service 'qvop-daemon' as part of class 'late_start': Cannot find '/vendor/bin/qvop-daemon': No such file or directory 
0 0  init Could not start service 'qseeproxydaemon' as part of class 'late_start': Cannot find '/system/vendor/bin/qseeproxydaemon': No such file or directory 
0 0  init Could not start service 'seemp_healthd' as part of class 'late_start': Cannot find '/vendor/bin/seemp_healthd': No such file or directory 
0 0  init Could not start service 'chre' as part of class 'late_start': Cannot find '/vendor/bin/chre': No such file or directory 
0 0  init Could not start service 'qcamerasvr' as part of class 'late_start': Cannot find '/system/vendor/bin/mm-qcamera-daemon': No such file or directory 
0 0  init Could not start service 'qfp-daemon' as part of class 'late_start': Cannot find '/system/vendor/bin/qfp-daemon': No such file or directory 
440 440          type=1400 audit(0.0:22): avc: denied { read } for comm="main" name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0
440 440  main type=1400 audit(0.0:22): avc: denied { read } for name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0 
440 440          type=1400 audit(0.0:22): avc: denied { read } for comm="main" name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0
440 440  main type=1400 audit(0.0:22): avc: denied { read } for name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0 
0 0  init starting service 'dms-hal-1-0'... 
439 439          type=1400 audit(0.0:23): avc: denied { read } for comm="main" name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0
439 439  main type=1400 audit(0.0:23): avc: denied { read } for name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0 
439 439          type=1400 audit(0.0:23): avc: denied { read } for comm="main" name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0
439 439  main type=1400 audit(0.0:23): avc: denied { read } for name="u:object_r:serialno_prop:s0" dev="tmpfs" ino=5764 scontext=u:r:zygote:s0 tcontext=u:object_r:serialno_prop:s0 tclass=file permissive=0 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  init Could not start service 'audiod' as part of class 'late_start': Cannot find '/system/vendor/bin/audiod': No such file or directory 
0 0  init Could not start service 'dts_configurator' as part of class 'late_start': Cannot find '/system/vendor/bin/dts_configurator': No such file or directory 
0 0  init Could not start service 'mdtpd' as part of class 'late_start': Cannot find '/system/vendor/bin/mdtpd': No such file or directory 
0 0  init Could not start service 'vendor.tlocd' as part of class 'late_start': Cannot find '/vendor/bin/tloc_daemon': No such file or directory 
0 0  init starting service 'dpmd'... 
0 0  init Created socket '/dev/socket/dpmd', mode 660, user 0, group 1000 
0 0  init Created socket '/dev/socket/tcm', mode 660, user 0, group 3003 
0 0  init Created socket '/dev/socket/dpmwrapper', mode 660, user 0, group 3003 
0 0  init starting service 'gatekeeperd'... 
0 0  init starting service 'tombstoned'... 
0 0  init starting service 'usbd'... 
0 0  init Created socket '/dev/socket/tombstoned_crash', mode 666, user 1000, group 1000 
0 0  init Created socket '/dev/socket/tombstoned_intercept', mode 666, user 1000, group 1000 
0 0  init Created socket '/dev/socket/tombstoned_java_trace', mode 666, user 1000, group 1000 
0 0  init Command 'class_start late_start' action=nonencrypted (/init.rc:693) took 313ms and succeeded 
0 0  capability warning: `loc_launcher' uses 32-bit capabilities (legacy support in use) 
0 0   zbl recover thermal limit when screen on 
0 0   smblib_set_prop_system_temp_level val=0 
0 0   LctThermal=1, lct_backlight_off= 0, IsInCall=0 
0 0  init processing action (init.svc.mediadrm=running) from (/vendor/etc/init/android.hardware.drm@1.1-service.widevine.rc:1) 
0 0  init Service 'usbd' (pid 792) exited with status 0 
0 0  pil-q6v5-mss 4080000.qcom,mss modem: Brought out of reset 
0 0  pil-q6v5-mss 4080000.qcom,mss Subsystem error monitoring/handling services are up 
0 0  pil-q6v5-mss 4080000.qcom,mss modem: Power/Clock ready interrupt received 
0 0  ipa_get_ipc_logbuf_low 3216 IPA HW is not supported 
0 0  ipa_get_ipc_logbuf_low 3216 IPA HW is not supported 
0 0   Process lowi-server granted CAP_NET_ADMIN from Android group net_admin. 
0 0   Please update the .rc file to explictly set 'capabilities NET_ADMIN' 
0 0   Implicit grants are deprecated and will be removed in the future. 
0 0  init processing action (sys.usb.config=diag,serial_cdev,rmnet,adb && sys.usb.configfs=1 && sys.usb.ffs.ready=1) from (/vendor/etc/init/hw/init.msm.usb.configfs.rc:120) 
0 0  rmt_storage INFO:rmt_storage_open_cb: Processing: Open Request for /boot/modem_fs1! 
0 0  sysmon-qmi sysmon_clnt_svc_arrive: Connection established between QMI handle and modem's SSCTL service 
0 0  rmt_storage INFO:rmt_storage_open_cb: Processing: Open Request for /boot/modem_fs2! 
0 0  rmt_storage INFO:rmt_storage_open_cb: Processing: Open Request for /boot/modem_fsg! 
0 0  rmt_storage INFO:rmt_storage_open_cb: Processing: Open Request for /boot/modem_fsc! 
0 0  rmt_storage INFO:rmt_storage_alloc_buff_cb: Received req_size: 0! avail: 1572864 
0 0  rmt_storage INFO:rmt_storage_rw_iovec_cb: Read iovec request received for /boot/modem_fs1 
0 0  init Service 'imsstarter' (pid 662) exited with status 0 
0 0  init Received control message 'start' for 'vendor.atfwd' from pid: 798 (start vendor.atfwd) 
0 0  init starting service 'vendor.atfwd'... 
0 0  rmt_storage INFO:rmt_storage_client_thread: Calling Read [offset=512, size=512]for /boot/modem_fs1! 
0 0  rmt_storage INFO:rmt_storage_client_thread: Done Read (bytes = 512) for /boot/modem_fs1! 
0 0  rmt_storage INFO:rmt_storage_rw_iovec_cb: Read iovec request received for /boot/modem_fs2 
0 0  rmt_storage INFO:rmt_storage_client_thread: Calling Read [offset=512, size=512]for /boot/modem_fs2! 
0 0  rmt_storage INFO:rmt_storage_client_thread: Done Read (bytes = 512) for /boot/modem_fs2! 
0 0  rmt_storage INFO:rmt_storage_rw_iovec_cb: Read iovec request received for /boot/modem_fs2 
0 0  rmt_storage INFO:rmt_storage_client_thread: Calling Read [offset=1024, size=1571840]for /boot/modem_fs2! 
0 0  rmt_storage INFO:rmt_storage_client_thread: Done Read (bytes = 1571840) for /boot/modem_fs2! 
0 0  init Received control message 'interface_start' for 'android.frameworks.sensorservice@1.0::ISensorManager/default' from pid: 400 (/system/bin/hwservicemanager) 
0 0  init Could not find service hosting interface android.frameworks.sensorservice@1.0::ISensorManager/default 
0 0  init Service 'qcom-c_main-sh' (pid 630) exited with status 0 
0 0  init Service 'qcom-c_late-sh' (pid 766) exited with status 0 
0 0  init Received control message 'interface_start' for 'android.frameworks.sensorservice@1.0::ISensorManager/default' from pid: 400 (/system/bin/hwservicemanager) 
0 0  init Could not find service hosting interface android.frameworks.sensorservice@1.0::ISensorManager/default 
0 0  init Received control message 'start' for 'bootanim' from pid: 550 (/system/bin/surfaceflinger) 
0 0  init starting service 'bootanim'... 
0 0  init Service 'vendor.qcom-usb-sh' (pid 546) exited with status 0 
0 0   msm_hsusb msm_hsusb: [ci13xxx_start] hw_ep_max = 32 
0 0   msm_hsusb msm_hsusb: CI13XXX_CONTROLLER_RESET_EVENT received 
0 0   msm_hsusb msm_hsusb: CI13XXX_CONTROLLER_UDC_STARTED_EVENT received 
0 0   msm_hsusb msm_hsusb: CI13XXX_CONTROLLER_CONNECT_EVENT received 
0 0  init processing action (ro.vendor.radio.noril=*) from (/vendor/etc/init/hw/init.qcom.rc:1227) 
0 0  apr_tal Modem Is Up 
0 0  scm_call failed func id 0x42000c16, ret: -1, syscall returns: 0x0, 0x0, 0x0 
0 0  hyp_assign_table Failed to assign memory protection, ret = -5 
0 0  memshare hyp_assign_phys failed size=5242880 err=-5 
0 0  init processing action (vendor.service.qti.ims.enabled=1) from (/vendor/etc/init/hw/init.target.rc:261) 
0 0  init starting service 'vendor.imsqmidaemon'... 
0 0  diag In diag_send_feature_mask_update, control channel is not open, p: 0, 0000000000000000 
0 0  diag In diag_send_peripheral_buffering_mode, buffering flag not set for 0 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=49 lo=00 hi=00, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=2f hi=2f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=30 hi=30, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=700 hi=700, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=0b lo=0b hi=0b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=205 hi=20b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=20c hi=20f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=56 lo=05 hi=05, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=56 lo=06 hi=06, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=56 lo=07 hi=07, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=56 lo=08 hi=08, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=56 lo=09 hi=09, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=56 lo=0a hi=0a, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=56 lo=0b hi=0b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=56 lo=10 hi=10, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=59 hi=59, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=00 hi=00, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=01 hi=01, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=02 hi=02, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=03 hi=03, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=04 hi=04, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=05 hi=05, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=06 hi=06, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=07 hi=07, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=08 hi=08, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=09 hi=09, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=0a hi=0a, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=0b hi=0b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=0c hi=0c, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=0d hi=0d, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=0e hi=0e, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=0f hi=0f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=10 hi=10, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=11 hi=11, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=12 hi=12, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=13 hi=13, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=14 hi=14, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=15 hi=15, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=1a hi=1a, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=1b hi=1b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=1d hi=1d, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=1f hi=1f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=20 hi=20, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=21 hi=21, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=1e hi=1e, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=22 hi=22, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=23 hi=23, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=24 hi=24, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=25 hi=25, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=26 hi=26, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=27 hi=27, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=28 hi=28, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=29 hi=29, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=2a hi=2a, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=2b hi=2b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=2c hi=2c, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=2d hi=2d, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=2e hi=2e, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=2f hi=2f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=30 hi=30, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=31 hi=31, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=32 hi=32, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=33 hi=33, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=34 hi=34, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=13 lo=35 hi=35, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=26 hi=26, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=27 hi=27, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=41 hi=41, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=30 lo=00 hi=00, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=30 lo=01 hi=01, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=30 lo=02 hi=02, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=80b hi=80b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=0c lo=204 hi=204, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=0c lo=202 hi=202, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=202 hi=202, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=241 hi=241, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=240 hi=240, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=2ff hi=2ff, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=44 lo=9000 hi=9fff, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=80c hi=80c, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=5a lo=231 hi=231, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=100 hi=100, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=101 hi=101, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=102 hi=102, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4d lo=200 hi=20e, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=1e hi=1e, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=1f hi=1f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=23 hi=23, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=24 hi=24, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4b lo=25 hi=25, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=25 lo=0c hi=0c, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4e lo=00 hi=00, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=4e lo=01 hi=01, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=25 lo=03 hi=03, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=80 subsys_id=4b lo=863 hi=863, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=00 hi=00, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=7c hi=7c, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=01 hi=01, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=1f hi=1f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=7d hi=7d, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=73 hi=73, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=78 hi=78, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=97 hi=97, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=5d hi=5d, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=0f hi=0f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=60 hi=60, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=81 hi=81, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=82 hi=82, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=5d hi=5d, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=5f hi=5f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=60 hi=60, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=62 hi=62, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=61 hi=61, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=ff lo=7b hi=7b, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=00 hi=00, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=29 hi=29, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=01 hi=01, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=34 hi=3c, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=50 hi=52, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=800 hi=801, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=807 hi=807, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=806 hi=806, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=805 hi=805, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=808 hi=808, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=809 hi=809, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=802 hi=803, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=80e hi=80e, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=80f hi=80f, peripheral[0] pid=-1(kworker/u8:1) 
0 0   @ diag_cmd_add_reg, registering cmd=ff subsys_id=12 lo=804 hi=804, peripheral[0] pid=-1(kworker/u8:1) 
